Participant,Num,Edit,Debug,Nav,Focus,Remove,Web,Stuck,Not Stuck,RatioSTuck,RatioNStuck
1,16,33.92,50.925,11.429,6.581,3.944,0.822,9,81,0.1,0.9
2,17,32.885,39.375,2.315,15.442,5.002,2.35,2,18,0.1,0.9
3,18,27.549,62.607,0.881,4.287,3.36,0.645,3,73,0.0395,0.9605
4,19,30.28,56.159,0.641,7.852,4.015,0.895,0,95,0,1
5,20,27.193,59.996,1.359,5.724,4.566,0.36,0,86,0,1
6,21,25.301,56.237,1.769,9.849,5.351,1.493,4,63,0.0597,0.9403
7,22,31.764,55.539,1.826,5.056,5.075,0.178,6,129,0.0444,0.9556
8,23,17.176,62.889,0.758,10.798,4.807,0.375,3,53,0.0536,0.9464
9,24,21.937,58.41,2.637,11.887,3.002,1.053,1,93,0.0106,0.9894
10,26,24.858,61.314,0.368,7,3.828,1.092,1,75,0.0132,0.9868
11,27,23.032,64.191,1.446,5.608,4.814,0.464,8,102,0.0727,0.9273
12,28,23.378,67.602,0.737,4.146,3.244,0.545,6,106,0.0536,0.9464
13,29,12.738,76.059,1.23,6.128,2.579,0.443,21,58,0.2658,0.7342
14,30,36.884,49.878,0.799,5.58,5.878,0.52,1,101,0.0098,0.9902
15,31,29.189,57.85,0.135,5.011,5.963,0.463,2,52,0.037,0.963
16,32,32.586,4.63,3.704,27.166,9.124,19.75,1,3,0.25,0.75
