Time,Insertion Ratio,Deletion Ratio,Debug Ratio,Navigation Ratio,Focus Ratio,remove ratio,# of inserts,# of deletions,# of debugs,# of navigations,# of focus,# of removes,insertion time ratio,deletion time ratio,debug time ratio,navigation time ratio,focus time ratio,mean insertion time,mean deletion time,mean debug time,mean navigation time,mean focus time,mean compilation error time,mean content asisst time,mean time between events,total insertion time,total deletion time,total debug time,total navigation time,total focus time,total compilation error time,total content asisst time,total time between events,Stuck
9/14/13 9:52 AM,37.5,20,0,2.5,40,0,15,8,0,1,16,0,0.509823246,0.288229395,0,0.033005451,0.168941908,250627.2143,247961.875,0,227155,72669.8125,0,0,5533.142857,3508781,1983695,0,227155,1162717,0,0,271124,
9/14/13 9:55 AM,36.36363636,33.33333333,0,0,30.3030303,0,12,11,0,0,10,0,0.123137407,0.181927122,0,0,0.694935471,14762.66667,20133.07692,0,0,111085.6667,0,0,2723.510204,177152,261730,0,0,999771,0,0,133452,
9/14/13 10:29 AM,14,2,0,6,78,0,7,1,0,3,39,0,0.141057527,0.046561984,0,0.074553043,0.737827446,1602919.5,1587333.5,0,1694380,1289902.538,0,0,42181.81633,9617517,3174667,0,5083140,5.03E+07,0,0,2066909,
9/14/13 10:38 AM,47.22222222,22.22222222,0,2.777777778,27.77777778,0,17,8,0,1,10,0,0.474561286,0.240498723,0,0.027487495,0.257452496,491651.1875,498319.125,0,455638,426758.2,501549.6154,0,10417.02041,7866419,3986553,0,455638,4267582,6520145,0,510434,
9/14/13 10:39 AM,75,12.5,0,0,12.5,0,12,2,0,0,2,0,0.732078351,0.001855715,0,0,0.266065934,24623.33333,374.5,0,0,53694.5,18095.93333,2171,1152.734694,295480,749,0,0,107389,542878,0,56484,
9/14/13 10:39 AM,66.66666667,33.33333333,0,0,0,0,8,4,0,0,0,0,0.667127134,0.332872866,0,0,0,5553.75,5542.25,0,0,0,5787.257143,1672,216.8163265,44430,22169,0,0,0,202554,0,10624,
9/14/13 10:39 AM,0,100,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,6625,0,0,0,3229.23913,0,141.2653061,0,13250,0,0,0,148545,0,6922,
9/14/13 10:41 AM,64.28571429,7.142857143,0,0,28.57142857,0,9,1,0,0,4,0,0.612528727,0.001462634,0,0,0.386008639,67610.44444,1453,0,0,95866.5,7743.90625,35766,2615.408163,608494,1453,0,0,383466,247805,0,128155,
9/14/13 10:41 AM,71.42857143,28.57142857,0,0,0,0,10,4,0,0,0,0,0.729757872,0.270242128,0,0,0,6097.2,5644.75,0,0,0,6118.794118,875,261.1632653,60972,22579,0,0,0,208039,0,12797,
9/14/13 10:42 AM,64.28571429,21.42857143,0,0,14.28571429,0,9,3,0,0,2,0,0.599576653,0.045577373,0,0,0.354845974,5916.888889,1349.333333,0,0,15758,4324.882353,0,360.9795918,53252,4048,0,0,31516,147046,0,17688,
9/14/13 10:43 AM,28.57142857,42.85714286,0,0,28.57142857,0,2,3,0,0,2,0,0.020708274,0.595994874,0,0,0.383296852,2351,45108.66667,0,0,43515.5,44676.60976,0,980.8571429,4702,135326,0,0,87031,1831741,0,48062,
9/14/13 10:55 AM,16.66666667,20,0,0,63.33333333,0,5,6,0,0,19,0,0.210172884,0.269381435,0,0,0.520445682,367026,392018.5,0,0,252460.2778,47211.47059,0,9067.489796,1835130,2352111,0,0,4544285,802595,0,444307,
9/14/13 11:04 AM,35.71428571,4.761904762,21.42857143,2.380952381,35.71428571,0,15,2,9,1,15,0,0.42075954,0.16658762,0.104088243,0.010493034,0.298071564,163355.0667,485068,67351.77778,61107,115722.8667,119137,240479,9907.632653,2450326,970136,606166,61107,1735843,595685,0,485474,
9/14/13 11:04 AM,68.75,18.75,0,0,12.5,0,11,3,0,0,2,0,0.702344629,0.229183335,0,0,0.068472036,28250.72727,33801.33333,0,0,15148,26508.75,0,807.0612245,310758,101404,0,0,30296,848280,0,39546,
9/14/13 11:05 AM,73.33333333,13.33333333,0,0,13.33333333,0,11,2,0,0,2,0,0.743463385,0.003215845,0,0,0.25332077,26748.4,578.5,0,0,45570,22732.15625,8688,1015.612245,267484,1157,0,0,91140,727429,0,49765,
9/14/13 11:06 AM,66.66666667,13.33333333,13.33333333,0,6.666666667,0,10,2,2,0,1,0,0.572634213,0.183075177,0.12208892,0,0.122201689,15741.6,25163.5,33562,0,33593,10050.3871,4562,685.5714286,157416,50327,33562,0,33593,311562,0,33593,
9/14/13 11:09 AM,30.76923077,7.692307692,26.92307692,0,34.61538462,0,8,2,7,0,9,0,0.407608281,0.173419495,0.015669456,0,0.403302767,111510.875,189772,4899.142857,0,98073.77778,191278.4762,0,3921.857143,892087,379544,34294,0,882664,4016848,0,192171,
9/14/13 11:09 AM,25,58.33333333,0,0,16.66666667,0,3,7,0,0,2,0,0.227512083,0.505821251,0,0,0.266666667,15770,15026.14286,0,0,27726,10594.91892,0,792.3877551,47310,105183,0,0,55452,392012,0,38827,
9/14/13 11:10 AM,56.25,43.75,0,0,0,0,9,7,0,0,0,0,0.583142401,0.416857599,0,0,0,16402.11111,8793.75,0,0,0,12807.09091,0,689.4081633,147619,105525,0,0,0,281756,0,33781,
9/14/13 11:11 AM,43.47826087,47.82608696,0,0,8.695652174,0,10,11,0,0,2,0,0.449028996,0.423008195,0,0,0.12796281,25857.2,22144.36364,0,0,36843.5,18939.22727,0,968.1020408,258572,243588,0,0,73687,416663,0,47437,
9/14/13 11:13 AM,56,28,0,0,16,0,14,7,0,0,4,0,0.64555033,0.094377264,0,0,0.260072406,53864.76923,14624.71429,0,0,70526.5,25990.21739,0,2483.408163,700242,102373,0,0,282106,597775,0,121687,
9/14/13 11:14 AM,90,10,0,0,0,0,18,2,0,0,0,0,0.890951426,0.109048574,0,0,0,26019.76471,27070,0,0,0,32252.92857,0,759.5510204,442336,54140,0,0,0,451541,0,37218,
9/14/13 11:15 AM,26.47058824,11.76470588,38.23529412,0,23.52941176,0,9,4,13,0,8,0,0.244759236,0.125559958,0.369714356,0,0.259966451,60520.55556,69855,68563.25,0,72315.875,44252.25,0,2107.44898,544685,279420,822759,0,578527,531027,0,103265,
9/14/13 11:17 AM,46.66666667,16.66666667,16.66666667,0,20,0,14,5,5,0,6,0,0.565450798,0.223526754,0.019765071,0,0.191257377,71519.42857,79162,6999.8,0,56444.83333,57604.72727,27828,1923.44898,1001272,395810,34999,0,338669,633652,0,94249,
9/14/13 11:17 AM,100,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,8967.090909,0,0,0,0,9221.918919,0,323.3265306,98638,0,0,0,0,341211,0,15843,
9/14/13 11:17 AM,100,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,10273.91667,0,0,0,0,9663.878788,5969,430.8163265,123287,0,0,0,0,318908,0,21110,
9/14/13 11:18 AM,71.42857143,28.57142857,0,0,0,0,10,4,0,0,0,0,0.744801846,0.255198154,0,0,0,7164.1,6136.75,0,0,0,7668.40625,1304.5,249.0408163,71641,24547,0,0,0,245389,0,12203,
9/14/13 11:18 AM,64.28571429,21.42857143,0,0,14.28571429,0,9,3,0,0,2,0,0.670358188,0.214941989,0,0,0.114699823,20607.55556,19822.66667,0,0,15867,18255.12121,0,503.5102041,185468,59468,0,0,31734,602419,0,24672,
9/14/13 11:18 AM,80,20,0,0,0,0,8,2,0,0,0,0,0.954038918,0.045961082,0,0,0,4216.375,812.5,0,0,0,4586.948718,0,178.877551,33731,1625,0,0,0,178891,0,8765,
9/14/13 11:18 AM,50,50,0,0,0,0,6,6,0,0,0,0,0.415867125,0.584132875,0,0,0,3675.6,4302.333333,0,0,0,3590.333333,0,235.3469388,18378,25814,0,0,0,118481,0,11532,
9/14/13 11:19 AM,55.55555556,0,27.77777778,0,16.66666667,0,10,0,5,0,3,0,0.517282695,0,0.3504658,0,0.132251505,18823.4,0,31882.75,0,16041.66667,14174.58333,0,655.2857143,188234,0,127531,0,48125,340190,0,32109,
9/14/13 11:20 AM,20.45454545,4.545454545,50,0,25,0,9,2,22,0,11,0,0.188603642,0.073035122,0.474693577,0,0.263667659,41761.75,64687.5,38221.63636,0,42460.27273,37334.6,0,1691.632653,334094,129375,840876,0,467063,186673,0,82890,
9/14/13 11:21 AM,21.42857143,11.9047619,42.85714286,0,23.80952381,0,9,5,18,0,10,0,0.270394257,0.082892605,0.34746182,0,0.299251318,23864.66667,16461,15333.27778,0,23770.4,14260,0,1240.755102,214782,65844,275999,0,237704,114080,0,60797,
9/14/13 11:22 AM,46.15384615,53.84615385,0,0,0,0,6,7,0,0,0,0,0.457623247,0.542376753,0,0,0,6677.333333,6783.428571,0,0,0,6197.485714,0,291.7755102,40064,47484,0,0,0,216912,0,14297,
9/14/13 11:22 AM,100,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,18738.625,0,0,0,0,16832.48718,23125,812.5102041,149909,0,0,0,0,656467,0,39813,
9/14/13 11:23 AM,26.08695652,30.43478261,30.43478261,0,13.04347826,0,6,7,7,0,3,0,0.255126238,0.291063137,0.355608527,0,0.098202098,58312.33333,57022.42857,69667.57143,0,67336,49798.6,0,1430.489796,349874,399157,487673,0,134672,995972,0,70094,
9/14/13 11:27 AM,59.25925926,7.407407407,7.407407407,0,25.92592593,0,16,2,2,0,7,0,0.73651395,0.003263416,0.001574715,0,0.258647919,139729.125,4953,2390,0,112159.7143,96160.30769,0,4146.959184,2235666,9906,4780,0,785118,1250084,0,203201,
9/14/13 11:37 AM,47.22222222,5.555555556,0,8.333333333,38.88888889,0,17,2,0,3,14,0,0.218910492,0.078770382,0,0.133617851,0.568701275,164366.8824,502724,0,568512.3333,558389.8462,4210.142857,0,12795.83673,2794237,1005448,0,1705537,7259068,58942,0,626996,
9/14/13 11:38 AM,50,50,0,0,0,0,10,10,0,0,0,0,0.458586294,0.541413706,0,0,0,23401.2,27627.8,0,0,0,25973.5,0,869.244898,234012,276278,0,0,0,727258,0,42593,
9/14/13 11:38 AM,53.84615385,46.15384615,0,0,0,0,7,6,0,0,0,0,0.563385018,0.436614982,0,0,0,13641,12333.5,0,0,0,12969.90909,0,434.6326531,95487,74001,0,0,0,428007,0,21297,
9/14/13 11:40 AM,54.16666667,8.333333333,0,12.5,25,0,13,2,0,3,6,0,0.425877391,0.112753823,0,0.100588171,0.360780615,30461.07692,52421,0,46765,55910.83333,54406.16,0,1524.22449,395994,104842,0,93530,335465,1360154,0,74687,
9/14/13 11:40 AM,63.63636364,18.18181818,0,18.18181818,0,0,14,4,0,4,0,0,0.618968486,0.196535154,0,0.18449636,0,10314.53846,10644,0,9992,0,10517.92857,0,378.1836735,134089,42576,0,39968,0,294502,0,18531,
9/14/13 11:41 AM,41.17647059,11.76470588,26.47058824,14.70588235,5.882352941,0,14,4,9,5,2,0,0.50087339,0.030354173,0.29772639,0.098441264,0.072604783,24792.07692,4883,21286.44444,12668.8,23359.5,8574.769231,0,1092.795918,322297,19532,191578,63344,46719,111472,0,53547,
9/14/13 11:41 AM,65,35,0,0,0,0,13,7,0,0,0,0,0.673200227,0.326799773,0,0,0,13043.46154,13719,0,0,0,17339.24,4359,480.5510204,169565,82314,0,0,0,433481,0,23547,
9/14/13 11:42 AM,75,25,0,0,0,0,9,3,0,0,0,0,0.743788841,0.256211159,0,0,0,6183.777778,6390.333333,0,0,0,8984.058824,3718.5,317.2653061,55654,19171,0,0,0,305458,0,15546,
9/14/13 11:42 AM,80,20,0,0,0,0,8,2,0,0,0,0,0.741329579,0.258670421,0,0,0,20335.875,28383,0,0,0,14554,0,604.5918367,162687,56766,0,0,0,509390,0,29625,
9/14/13 11:43 AM,48.14814815,22.22222222,7.407407407,0,22.22222222,0,13,6,2,0,6,0,0.465536348,0.167794487,0.074612803,0,0.292056362,13378.15385,10447.5,27874,0,18184.5,9560.173913,0,568.8571429,173916,62685,27874,0,109107,219884,0,27874,
9/14/13 11:43 AM,29.62962963,37.03703704,25.92592593,0,7.407407407,0,8,10,7,0,2,0,0.391800766,0.536788575,0.040330895,0,0.031079763,14060.75,15411.2,1654.142857,0,4461.5,15151.53333,0,489.4897959,112486,154112,11579,0,8923,227273,0,23985,
9/14/13 11:44 AM,29.41176471,17.64705882,41.17647059,0,11.76470588,0,10,6,14,0,4,0,0.254437839,0.177984551,0.412708547,0,0.154869063,14585.7,17005,18198.92308,0,22194.75,14946.6,0,641.5714286,145857,102030,236586,0,88779,224199,0,31437,
9/14/13 11:44 AM,19.51219512,12.19512195,48.7804878,0,19.51219512,0,8,5,20,0,8,0,0.199623792,0.148199282,0.48326952,0,0.168907406,19447.25,19250,18831.95,0,18805.57143,19839.28571,0,687.4897959,155578,115500,376639,0,131639,138875,0,33687,
9/14/13 11:45 AM,38.23529412,17.64705882,32.35294118,0,11.76470588,0,13,6,11,0,4,0,0.398912727,0.104498261,0.3487208,0,0.147868212,15666.33333,8207.833333,14940.18182,0,17421.5,8857.5,0,578.122449,187996,49247,164342,0,69686,88575,0,28328,
9/14/13 11:45 AM,39.39393939,18.18181818,27.27272727,0,15.15151515,0,13,6,9,0,5,0,0.299171648,0.238762338,0.312417604,0,0.14964841,11398.92308,19710.66667,17194.11111,0,18531,14806.4375,0,610.6530612,148186,118264,154747,0,74124,236903,0,29922,
9/14/13 11:46 AM,42.30769231,3.846153846,34.61538462,0,19.23076923,0,11,1,9,0,5,0,0.727880783,0,0.065741552,0,0.206377665,20003.81818,0,2208.222222,0,12477.8,25456.36364,9469,670.9183673,220042,0,19874,0,62389,560040,0,32875,
9/14/13 11:46 AM,66.66666667,33.33333333,0,0,0,0,10,5,0,0,0,0,0.72056666,0.27943334,0,0,0,9282.7,7199.6,0,0,0,8786.233333,5593,318.5510204,92827,35998,0,0,0,263587,0,15609,
9/14/13 11:46 AM,32,24,36,0,8,0,8,6,9,0,2,0,0.159237986,0.218191193,0.508620482,0,0.113950339,8261.625,15093.66667,23456.33333,0,23648,9926.736842,0,585.4489796,66093,90562,211107,0,47296,188608,0,28687,
9/14/13 11:47 AM,25.80645161,19.35483871,35.48387097,0,19.35483871,0,8,6,11,0,6,0,0.255022138,0.191178716,0.320086943,0,0.233712203,15868.625,15861.33333,15933.8,0,19390.16667,12900.29412,0,591.5102041,126949,95168,159338,0,116341,219305,0,28984,
9/14/13 11:47 AM,57.14285714,0,33.33333333,0,9.523809524,0,12,0,7,0,2,0,0.858528227,0,0.078654571,0,0.062817203,16716.09091,0,2406.571429,0,6727,17718.42308,6875,476.0816327,183877,0,16846,0,13454,460679,0,23328,
9/14/13 11:48 AM,76.92307692,23.07692308,0,0,0,0,10,3,0,0,0,0,0.643714603,0.356285397,0,0,0,7286.777778,12099.33333,0,0,0,8956.066667,2661.666667,296.244898,65581,36298,0,0,0,268682,0,14516,
9/14/13 11:48 AM,69.23076923,30.76923077,0,0,0,0,9,4,0,0,0,0,0.534686419,0.465313581,0,0,0,9618.875,16741.75,0,0,0,9858.055556,0,606.1836735,76951,66967,0,0,0,354890,0,29703,
9/14/13 11:49 AM,66.66666667,33.33333333,0,0,0,0,8,4,0,0,0,0,0.476582684,0.523417316,0,0,0,13120.5,28819.75,0,0,0,17141.32432,0,766.877551,104964,115279,0,0,0,634229,0,37577,
9/14/13 11:49 AM,34.48275862,6.896551724,31.03448276,0,27.5862069,0,10,2,9,0,8,0,0.301546825,0.115475633,0.365495223,0,0.217482319,13468.8,25789,18139,0,12142.5,11819,0,740.1020408,134688,51578,163251,0,97140,224561,0,36265,
9/14/13 11:50 AM,15.78947368,15.78947368,47.36842105,0,21.05263158,0,6,6,18,0,8,0,0.178758674,0.2254959,0.422354034,0,0.173391393,17002.33333,21447.66667,13390.5,0,12368.875,21209,0,858.4081633,102014,128686,241029,0,98951,212090,0,42062,
9/14/13 11:51 AM,34.375,25,28.125,0,12.5,0,11,8,9,0,4,0,0.429748988,0.341856476,0.158626649,0,0.069767887,18356.45455,20078,8281.333333,0,8195.25,18153,0,731.8163265,201921,160624,74532,0,32781,272295,0,35859,
9/14/13 11:51 AM,18.91891892,10.81081081,48.64864865,0,21.62162162,0,7,4,18,0,8,0,0.12398386,0.075000969,0.589941772,0,0.211073399,8678.285714,9187,16058.44444,0,14774.14286,9105.083333,0,621.4897959,60748,36748,289052,0,103419,109261,0,30453,
9/14/13 11:52 AM,17.24137931,13.79310345,51.72413793,0,17.24137931,0,5,4,15,0,5,0,0.166038241,0.10802478,0.516547636,0,0.209389343,16134.6,13121.5,17926.78571,0,20347.2,18214.1875,0,583.877551,80673,52486,250975,0,101736,291427,0,28610,
9/14/13 11:52 AM,10.81081081,10.81081081,54.05405405,0,24.32432432,0,4,4,20,0,9,0,0.09307615,0.080817921,0.543152847,0,0.282953083,10558,9167.5,12970.94737,0,14265.11111,13301.15385,0,531.5510204,42232,36670,246448,0,128386,172915,0,26046,
