@relation programmer-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1

@attribute insertPercentage numeric
@attribute deletePercentage numeric
@attribute debugPercentage numeric
@attribute searchPercentage numeric
@attribute focusPercentage numeric
@attribute removePercentage numeric
@attribute webLinkTimes numeric
@attribute stuck {YES,NO}

@data
0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,NO
0,0,0,2.631579,65.789474,0,0,NO
0,0,0,0,0,0,0,NO
0,0,0,0,5.405405,0,16,NO
0,0,6.976744,6.976744,69.767442,0,0,NO
0,0,56.097561,0,9.756098,0,0,NO
0,0,52.631579,0,15.789474,0,0,NO
0,0,29.268293,0,9.756098,0,0,NO
0,0,54.545455,0,4.545455,0,0,NO
0,0,48.780488,0,19.512195,0,3,NO
0,0,53.658537,2.439024,19.512195,0,0,NO
0,0,60,0,0,0,0,NO
0,0,40.540541,0,0,0,0,NO
0,0,38.709677,0,0,0,0,NO
0,0,40.909091,0,0,0,0,NO
0,0,46.808511,0,0,0,0,NO
0,0,43.589744,12.820513,5.128205,0,0,NO
0,0,48.780488,0,0,0,0,NO
0,0,40.47619,0,0,0,0,NO
0,0,64.444444,0,0,0,0,NO
0,0,54.545455,0,0,0,0,NO
0,0,56.818182,0,0,0,0,NO
0,0,27.027027,0,0,0,0,NO
0,0,37.5,0,0,0,3,YES
0,0,58.536585,0,14.634146,0,0,NO
0,0,67.5,0,10,0,2,NO
0,0,56.756757,0,5.405405,0,0,NO
0,0,65.909091,0,9.090909,0,0,NO
0,0,48.648649,0,5.405405,0,0,NO
0,0,60.526316,0,0,0,0,NO
0,0,69.047619,2.380952,0,0,0,NO
0,0,50,0,0,0,0,NO
0,0,42.105263,5.263158,0,0,0,NO
0,0,51.219512,4.878049,0,0,0,NO
0,0,48.571429,0,5.714286,0,7,YES
0,0,50,2.631579,26.315789,0,0,NO
0,0,41.37931,10.344828,27.586207,0,0,NO
0,0,17.142857,11.428571,5.714286,0,0,NO
0,0,52.631579,2.631579,5.263158,0,0,NO
0,0,32.352941,5.882353,0,0,0,NO
0,0,41.463415,0,4.878049,0,12,YES
0,0,50,0,21.052632,0,0,NO
0,0,71.428571,2.380952,9.52381,0,0,NO
0,0,60.526316,5.263158,5.263158,0,0,NO
0,0,80.952381,0,0,0,0,YES
0,0,88.095238,0,0,0,0,YES
0,0,82.222222,0,4.444444,0,0,YES
