@relation programmer-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1

@attribute editPercentage numeric
@attribute debugPercentage numeric
@attribute navigationPercentage numeric
@attribute focusPercentage numeric
@attribute removePercentage numeric
@attribute webLinkTimes numeric
@attribute stuck {YES,NO}

@data
0,0,0,0,0,0,NO
46.153846,0,2.564103,30.769231,20.512821,0,NO
77.419355,0,0,0,22.580645,0,NO
19.565217,0,6.521739,73.913043,0,0,NO
51.162791,18.604651,13.953488,4.651163,11.627907,8,YES
46.938776,30.612245,0,16.326531,6.122449,0,NO
22.413793,74.137931,0,0,3.448276,3,NO
28.888889,48.888889,0,17.777778,4.444444,2,YES
17.307692,67.307692,0,15.384615,0,0,NO
25.531915,68.085106,0,0,6.382979,0,NO
21.428571,78.571429,0,0,0,0,NO
23.636364,70.909091,0,0,5.454545,0,NO
25,75,0,0,0,0,NO
6,84,0,0,10,1,NO
44,26,0,24,6,0,NO
27.659574,55.319149,4.255319,8.510638,4.255319,0,NO
12.727273,80,0,0,7.272727,4,NO
9.803922,74.509804,3.921569,7.843137,3.921569,0,NO
8.928571,82.142857,0,7.142857,1.785714,0,NO
9.259259,83.333333,0,3.703704,3.703704,0,NO
11.111111,77.777778,0,11.111111,0,0,NO
20.454545,70.454545,4.545455,4.545455,0,1,NO
25.531915,63.829787,6.382979,4.255319,0,2,NO
20.754717,66.037736,1.886792,7.54717,3.773585,1,NO
20.754717,64.150943,0,11.320755,3.773585,0,NO
12.280702,87.719298,0,0,0,0,NO
1.851852,94.444444,0,0,3.703704,6,YES
15.686275,68.627451,3.921569,11.764706,0,0,YES
34.090909,56.818182,0,0,9.090909,0,NO
24.528302,62.264151,3.773585,3.773585,5.660377,0,NO
16.981132,67.924528,0,11.320755,3.773585,0,NO
11.111111,81.481481,0,0,7.407407,0,NO
10.638298,70.212766,4.255319,8.510638,6.382979,0,NO
9.615385,80.769231,0,7.692308,1.923077,0,NO
25.490196,66.666667,0,0,7.843137,0,NO
19.565217,69.565217,0,8.695652,2.173913,0,NO
14.545455,72.727273,0,10.909091,1.818182,0,NO
36.363636,40.909091,0,9.090909,13.636364,0,NO
30.434783,60.869565,0,0,8.695652,0,NO
3.846154,82.692308,0,11.538462,1.923077,0,NO
5.882353,74.509804,0,15.686275,3.921569,0,NO
17.647059,72.54902,0,3.921569,5.882353,0,NO
32.075472,56.603774,0,0,11.320755,0,NO
40,32,4,8,16,0,NO
44.444444,28.888889,6.666667,4.444444,15.555556,5,NO
37.777778,40,0,13.333333,8.888889,0,NO
40.816327,51.020408,4.081633,0,4.081633,4,NO
33.333333,53.333333,0,8.888889,4.444444,5,NO
17.647059,72.54902,0,7.843137,1.960784,0,NO
20.833333,66.666667,0,8.333333,4.166667,0,NO
37.254902,56.862745,0,0,5.882353,0,NO
17.857143,64.285714,0,17.857143,0,0,YES
18.867925,64.150943,0,15.09434,1.886792,1,NO
25,62.5,0,5,7.5,0,NO
32.727273,63.636364,0,0,3.636364,0,NO
36.538462,51.923077,0,3.846154,7.692308,0,NO
28.571429,61.22449,0,4.081633,6.122449,0,NO
27.659574,63.829787,0,4.255319,4.255319,0,NO
28.301887,62.264151,0,0,9.433962,0,NO
26,68,0,0,6,0,NO
42.592593,55.555556,0,0,1.851852,0,NO
6,78,0,8,8,0,NO
42.857143,48.979592,0,0,8.163265,0,NO
25,66.071429,0,7.142857,1.785714,0,NO
21.428571,69.642857,0,7.142857,1.785714,0,NO
10.526316,73.684211,0,14.035088,1.754386,0,NO
20.338983,74.576271,0,5.084746,0,0,NO
13.461538,67.307692,1.923077,13.461538,3.846154,2,NO
11.538462,73.076923,1.923077,11.538462,1.923077,0,NO
28.571429,62.5,0,0,8.928571,0,NO
19.298246,70.175439,0,7.017544,3.508772,0,NO
10.909091,85.454545,0,3.636364,0,2,NO
19.642857,66.071429,1.785714,10.714286,1.785714,0,NO
16.981132,77.358491,3.773585,0,1.886792,0,NO
10.714286,82.142857,0,3.571429,3.571429,0,NO
10.714286,85.714286,0,0,3.571429,0,NO
7.272727,87.272727,0,0,5.454545,4,YES
21.818182,72.727273,0,3.636364,1.818182,0,YES
18.367347,71.428571,2.040816,0,8.163265,0,NO
12.962963,81.481481,0,0,5.555556,0,NO
9.433962,81.132075,0,3.773585,5.660377,0,NO
14.814815,75.925926,7.407407,0,1.851852,0,NO
20,66.666667,4.444444,4.444444,4.444444,0,NO
23.636364,69.090909,0,0,7.272727,0,NO
29.090909,63.636364,0,0,7.272727,0,NO
31.481481,64.814815,0,3.703704,0,0,NO
13.72549,82.352941,0,0,3.921569,0,NO
17.307692,75,0,3.846154,3.846154,0,NO
20,72.727273,0,0,7.272727,0,NO
20,74.545455,0,0,5.454545,0,NO
20.37037,79.62963,0,0,0,0,NO
38.297872,55.319149,0,0,6.382979,0,NO
14.814815,79.62963,0,0,5.555556,0,NO
31.25,64.583333,0,0,4.166667,0,NO
43.75,43.75,0,0,12.5,0,NO
36.538462,63.461538,0,0,0,0,NO
26.666667,62.222222,2.222222,4.444444,4.444444,0,NO
27.659574,59.574468,4.255319,0,8.510638,0,NO
31.25,41.666667,14.583333,12.5,0,0,NO
23.913043,67.391304,0,0,8.695652,0,NO
19.565217,69.565217,0,0,10.869565,0,NO
15.09434,83.018868,0,0,1.886792,0,NO
23.076923,71.153846,0,3.846154,1.923077,0,NO
15.384615,80.769231,1.923077,0,1.923077,0,NO
25.454545,70.909091,0,0,3.636364,0,NO
15.09434,67.924528,5.660377,11.320755,0,0,NO
28.888889,64.444444,0,0,6.666667,0,YES
41.860465,46.511628,6.976744,4.651163,0,0,NO
21.276596,61.702128,12.765957,0,4.255319,0,NO
4.166667,62.5,16.666667,16.666667,0,0,NO
0,0,0,0,0,0,NO
57.777778,0,2.222222,26.666667,13.333333,0,NO
75.862069,0,0,0,24.137931,0,NO
18.181818,0,6.818182,75,0,10,NO
31.578947,56.140351,1.754386,8.77193,1.754386,0,NO
28.571429,64.285714,0,7.142857,0,0,NO
32,56,0,8,4,2,NO
43.137255,45.098039,0,11.764706,0,0,NO
54.901961,37.254902,0,3.921569,3.921569,0,NO
45.614035,45.614035,0,7.017544,1.754386,0,NO
29.090909,58.181818,0,10.909091,1.818182,0,NO
29.62963,70.37037,0,0,0,0,NO
43.396226,50.943396,0,0,5.660377,0,NO
45.454545,49.090909,0,0,5.454545,0,NO
49.056604,47.169811,3.773585,0,0,0,NO
42.592593,50,0,0,7.407407,0,NO
45.652174,50,0,0,4.347826,0,NO
35.185185,59.259259,0,0,5.555556,1,YES
38.297872,23.404255,4.255319,29.787234,4.255319,0,NO
52.5,30,0,10,7.5,3,NO
30.769231,59.615385,0,7.692308,1.923077,0,NO
17.307692,75,0,3.846154,3.846154,19,NO
31.25,37.5,0,20.833333,10.416667,2,NO
36.734694,42.857143,6.122449,12.244898,2.040816,0,NO
21.568627,68.627451,3.921569,3.921569,1.960784,0,NO
34.615385,59.615385,0,0,5.769231,0,NO
27.083333,66.666667,4.166667,0,2.083333,0,NO
39.583333,54.166667,0,0,6.25,0,NO
32.692308,61.538462,0,0,5.769231,0,NO
33.333333,56.25,0,0,10.416667,0,NO
25.925926,66.666667,0,0,7.407407,0,NO
22.44898,65.306122,0,8.163265,4.081633,0,NO
26.530612,61.22449,0,8.163265,4.081633,0,NO
28.301887,66.037736,0,3.773585,1.886792,0,NO
30.769231,53.846154,0,11.538462,3.846154,0,NO
4.166667,68.75,8.333333,16.666667,2.083333,0,NO
3.508772,96.491228,0,0,0,0,NO
11.538462,80.769231,0,3.846154,3.846154,0,NO
11.864407,88.135593,0,0,0,0,NO
15,81.666667,0,3.333333,0,0,YES
11.666667,88.333333,0,0,0,0,NO
10.169492,86.440678,0,3.389831,0,0,NO
1.724138,98.275862,0,0,0,0,NO
15.517241,79.310345,0,3.448276,1.724138,0,NO
11.864407,83.050847,0,3.389831,1.694915,0,NO
15.254237,83.050847,0,0,1.694915,0,NO
15.254237,83.050847,0,0,1.694915,0,NO
3.389831,96.610169,0,0,0,0,YES
10.169492,89.830508,0,0,0,0,NO
14.035088,82.45614,0,0,3.508772,0,NO
13.559322,84.745763,0,0,1.694915,0,NO
14.035088,82.45614,0,0,3.508772,0,NO
8.474576,91.525424,0,0,0,0,NO
15.517241,81.034483,0,0,3.448276,0,NO
17.241379,79.310345,0,0,3.448276,0,NO
10.344828,86.206897,0,0,3.448276,0,NO
3.448276,96.551724,0,0,0,0,YES
22.413793,77.586207,0,0,0,0,NO
15.254237,83.050847,0,0,1.694915,0,NO
8.474576,91.525424,0,0,0,0,NO
10.169492,89.830508,0,0,0,0,NO
18.181818,74.545455,0,0,7.272727,0,NO
8.62069,87.931034,0,0,3.448276,0,NO
16.949153,81.355932,0,0,1.694915,0,NO
3.508772,91.22807,3.508772,0,1.754386,0,NO
8.77193,91.22807,0,0,0,0,NO
18.965517,77.586207,0,0,3.448276,0,NO
10,90,0,0,0,0,NO
12.068966,84.482759,0,0,3.448276,0,NO
10.714286,87.5,0,0,1.785714,0,NO
5.084746,94.915254,0,0,0,0,NO
8.333333,91.666667,0,0,0,0,NO
8.928571,89.285714,0,0,1.785714,0,NO
12.068966,84.482759,0,0,3.448276,0,NO
19.298246,77.192982,0,0,3.508772,3,NO
17.857143,75,0,3.571429,3.571429,0,NO
11.764706,86.27451,0,0,1.960784,0,NO
6.779661,91.525424,0,0,1.694915,0,NO
8.474576,89.830508,0,0,1.694915,0,NO
13.72549,82.352941,0,0,3.921569,0,NO
35.135135,59.459459,0,5.405405,0,0,NO
46.153846,48.076923,0,0,5.769231,14,YES
31.372549,52.941176,0,11.764706,3.921569,5,NO
32.653061,51.020408,0,16.326531,0,0,NO
23.076923,75,0,0,1.923077,2,YES
27.45098,56.862745,0,11.764706,3.921569,0,NO
