Participant Id,Observation Time,Type
19,4:05 PM,Observed and Confirmed
19,4:28 PM,Observed and Confirmed
19,4:44 PM,Observed and Confirmed
16,3:29 PM,Solving On Own
16,3:38 PM,Solving On Own
16,3:46 PM,Solving On Own
16,3:50 PM,Tool Detected Difficulty
16,3:56 PM,Solving On Own
16,4:00 PM,Asked For Help
29,1:34 PM,Tool Detected Difficulty
29,1:41 PM,Tool Detected Difficulty
29,1:47 PM,Asked for help
29,1:51 PM,Tool Detected Difficulty
29,1:54 PM,Tool Detected Difficulty
29,1:55 PM,Tool Detected Difficulty
29,2:10 PM,Asked for help
29,2:16 PM,Tool Detected Difficulty
29,2:29 PM,Asked for help
20,11:31 AM,Observed and Confirmed
20,12:16 PM,Observed and Confirmed
18,11:17 AM,Asked for help
18,11:25 AM,Asked for help
18,12:21 PM,Asked for help
24,1:50 PM,Observed and Confirmed
24,2:18 PM,Asked for help
24,2:33 PM,Observed and Confirmed
26,3:17 PM,Observed and Confirmed
26,4:04 PM,Observed and Confirmed
26,4:18 PM,Observed and Confirmed
26,4:40 PM,Observed and Confirmed
28,3:55 PM,Observed and Confirmed
28,4:14 PM,Tool Detected Difficulty
28,4:30 PM,Solving On Own
28,4:38 PM,Asked for help
28,4:42 PM,Observed and Confirmed
21,11:19 AM,Asked for help
21,11:26 AM,Asked for help
21,12:25 PM,Asked For Help
27,11:20 AM,Solving On Own
27,11:25 AM,Asked for help
27,11:30 AM,Observed and Confirmed
27,11:41 AM,Tool Detected Difficulty
27,12:05 PM,Asked for help
27,12:16 PM,Observed and Confirmed
27,12:21 PM,Tool Detected Difficulty
27,12:42 PM,Asked for help
22,4:07 PM,Asked for help
22,4:18 PM,Solving On Own
22,4:30 PM,Solving On Own
22,4:35 PM,Solving On Own
22,4:46 PM,Observed and Confirmed
22,5:15 PM,Observed and Confirmed
22,5:26 PM,Solving On Own
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
