@Relation programmer-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1

@Attribute currentDate string
@Attribute currentTime numeric
@Attribute timeFromStart numeric
@Attribute percentageIntoTask numeric
@Attribute sourceDifficulty string
@Attribute editOrInsertPercentage numeric
@Attribute debugPercentage numeric
@Attribute navigationPercentage numeric
@Attribute focusPercentage numeric
@Attribute removePercentage numeric
@Attribute stuck {YES,NO}

@data
14.36.31,1379097391023,-1108855,0,prediction,0.0,0.0,0.0,0.0,0.0,NO
14.39.52,1379097592726,-907152,0,prediction,0.0,0.0,0.0,0.0,0.0,NO
14.54.59,1379098499878,0,0,predictionCorrection,0.0,0.0,0.0,0.0,0.0,NO
14.59.16,1379098756829,256951,0,prediction,0.0,0.0,4.0,88.0,0.0,NO
14.59.16,1379098756845,256967,0,prediction,0.0,0.0,4.0,84.0,0.0,NO
14.59.20,1379098760735,260857,0,prediction,0.0,0.0,4.0,84.0,0.0,NO
14.59.23,1379098763251,263373,0,prediction,0.0,0.0,4.0,84.0,0.0,NO
14.59.23,1379098763298,263420,0,prediction,0.0,0.0,4.0,84.0,0.0,NO
14.59.23,1379098763626,263748,0,prediction,0.0,0.0,4.0,80.0,0.0,NO
14.59.26,1379098766923,267045,0,prediction,0.0,0.0,4.0,76.0,0.0,NO
14.59.27,1379098767845,267967,0,prediction,0.0,0.0,4.0,72.0,0.0,NO
14.59.27,1379098767860,267982,0,prediction,0.0,0.0,4.0,68.0,0.0,NO
14.59.29,1379098769657,269779,0,prediction,0.0,0.0,4.0,64.0,0.0,NO
14.59.30,1379098770251,270373,0,prediction,0.0,0.0,4.0,60.0,0.0,NO
14.59.30,1379098770251,270373,0,prediction,0.0,0.0,4.0,56.00000000000001,0.0,NO
14.59.32,1379098772735,272857,0,prediction,0.0,0.0,4.0,52.0,0.0,NO
14.59.33,1379098773313,273435,0,prediction,0.0,0.0,4.0,48.0,0.0,NO
14.59.35,1379098775142,275264,0,prediction,0.0,0.0,4.0,44.0,0.0,NO
14.59.35,1379098775157,275279,0,prediction,0.0,0.0,4.0,40.0,0.0,NO
14.59.36,1379098776329,276451,0,prediction,0.0,0.0,4.0,36.0,0.0,NO
14.59.36,1379098776329,276451,0,prediction,0.0,0.0,4.0,32.0,0.0,NO
14.59.38,1379098778313,278435,0,prediction,0.0,0.0,4.0,28.000000000000004,0.0,NO
14.59.38,1379098778892,279014,0,prediction,0.0,0.0,4.0,24.0,0.0,NO
14.59.40,1379098780923,281045,0,prediction,0.0,0.0,4.0,20.0,0.0,NO
14.59.41,1379098781892,282014,0,prediction,0.0,0.0,4.0,16.0,0.0,NO
14.59.41,1379098781907,282029,0,prediction,0.0,0.0,4.0,12.0,0.0,NO
14.59.42,1379098782907,283029,0,prediction,0.0,0.0,0.0,12.0,0.0,NO
14.59.43,1379098783892,284014,0,prediction,0.0,0.0,0.0,12.0,0.0,NO
14.59.43,1379098783907,284029,0,prediction,0.0,0.0,0.0,12.0,0.0,NO
14.59.45,1379098785938,286060,0,prediction,0.0,0.0,0.0,12.0,0.0,NO
14.59.46,1379098786641,286763,0,prediction,0.0,0.0,0.0,8.0,0.0,NO
14.59.46,1379098786657,286779,0,prediction,0.0,0.0,0.0,4.0,0.0,NO
14.59.48,1379098788110,288232,0,prediction,0.0,0.0,0.0,0.0,0.0,NO
14.59.48,1379098788126,288248,0,prediction,0.0,0.0,0.0,0.0,0.0,NO
14.59.48,1379098788657,288779,0,prediction,0.0,0.0,0.0,0.0,0.0,NO
14.59.48,1379098788657,288779,0,prediction,0.0,0.0,0.0,0.0,0.0,NO
14.59.48,1379098788954,289076,0,prediction,0.0,0.0,0.0,0.0,0.0,NO
14.59.48,1379098788970,289092,0,prediction,0.0,0.0,0.0,0.0,0.0,NO
14.59.51,1379098791095,291217,0,prediction,0.0,0.0,0.0,0.0,0.0,NO
14.59.51,1379098791688,291810,0,prediction,0.0,0.0,0.0,0.0,0.0,NO
14.59.51,1379098791688,291810,0,prediction,0.0,0.0,0.0,0.0,0.0,NO
14.59.52,1379098792298,292420,0,prediction,0.0,0.0,0.0,0.0,0.0,NO
14.59.53,1379098793313,293435,0,prediction,0.0,0.0,0.0,0.0,0.0,NO
14.59.53,1379098793313,293435,0,prediction,0.0,0.0,0.0,0.0,0.0,NO
14.59.54,1379098794938,295060,0,prediction,0.0,0.0,0.0,0.0,0.0,NO
14.59.55,1379098795501,295623,0,prediction,0.0,0.0,0.0,0.0,0.0,NO
14.59.55,1379098795501,295623,0,prediction,0.0,0.0,0.0,0.0,0.0,NO
14.59.56,1379098796157,296279,0,prediction,0.0,0.0,0.0,0.0,0.0,NO
14.59.56,1379098796970,297092,0,prediction,0.0,0.0,0.0,0.0,0.0,NO
14.59.56,1379098796985,297107,0,prediction,0.0,0.0,0.0,0.0,0.0,NO
14.59.59,1379098799938,300060,0,prediction,0.0,0.0,0.0,0.0,0.0,NO
15.00.01,1379098801298,301420,0,prediction,0.0,0.0,0.0,0.0,0.0,NO
15.00.01,1379098801938,302060,0,prediction,0.0,0.0,0.0,0.0,0.0,NO
15.00.01,1379098801938,302060,0,prediction,0.0,0.0,0.0,0.0,0.0,NO
15.00.02,1379098802251,302373,0,prediction,0.0,0.0,0.0,0.0,0.0,NO
15.00.02,1379098802501,302623,0,prediction,0.0,0.0,0.0,0.0,0.0,NO
15.00.02,1379098802501,302623,0,prediction,0.0,0.0,0.0,0.0,0.0,NO
15.00.02,1379098802751,302873,0,prediction,0.0,0.0,0.0,0.0,0.0,NO
15.00.03,1379098803001,303123,0,prediction,0.0,0.0,0.0,0.0,0.0,NO
15.00.03,1379098803016,303138,0,prediction,0.0,0.0,0.0,0.0,0.0,NO
15.00.03,1379098803407,303529,0,prediction,0.0,0.0,0.0,0.0,0.0,NO
15.00.04,1379098804298,304420,0,prediction,0.0,0.0,0.0,0.0,0.0,NO
15.00.04,1379098804298,304420,0,prediction,0.0,0.0,0.0,0.0,0.0,NO
15.00.05,1379098805313,305435,0,prediction,0.0,0.0,0.0,0.0,0.0,NO
15.00.05,1379098805891,306013,0,prediction,0.0,0.0,0.0,0.0,0.0,NO
15.00.05,1379098805891,306013,0,prediction,0.0,0.0,0.0,0.0,0.0,NO
15.00.11,1379098811282,311404,0,prediction,0.0,0.0,0.0,0.0,0.0,NO
15.00.12,1379098812360,312482,0,prediction,0.0,0.0,0.0,0.0,0.0,NO
15.00.12,1379098812376,312498,0,prediction,0.0,0.0,0.0,0.0,0.0,NO
15.00.14,1379098814516,314638,0,prediction,0.0,0.0,0.0,0.0,0.0,NO
15.00.15,1379098815954,316076,0,prediction,0.0,0.0,0.0,0.0,0.0,NO
15.00.15,1379098815954,316076,0,prediction,0.0,0.0,0.0,0.0,0.0,NO
15.00.16,1379098816141,316263,0,prediction,0.0,0.0,0.0,0.0,0.0,NO
15.00.16,1379098816141,316263,0,prediction,0.0,0.0,0.0,0.0,0.0,NO
