@Relation programmer-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1

@Attribute currentDate string
@Attribute currentTime numeric
@Attribute timeFromStart numeric
@Attribute sourceDifficulty string
@Attribute insertPercentage numeric
@Attribute deletePercentage numeric
@Attribute debugPercentage numeric
@Attribute navigationPercentage numeric
@Attribute focusPercentage numeric
@Attribute webLinkTimes numeric
@Attribute stuck {YES,NO}

@data
12.56.55,1379955415221,0,prediction,0.0,0.0,0.0,0.0,0.0,0.0,NO
13.00.19,1379955619482,204261,predictionCorrection,0.8157894736842105,0.0,0.0,0.0,5.263157894736842,0.0,NO
13.18.30,1379956710268,1295047,prediction,0.14285714285714285,0.0,0.0,4.081632653061225,81.63265306122449,0.0,NO
13.22.15,1379956935437,1520216,prediction,0.575,0.0,0.0,15.0,25.0,0.0,NO
13.23.24,1379957004015,1588794,prediction,0.9259259259259259,0.0,0.0,7.4074074074074066,0.0,0.0,NO
13.23.35,1379957015483,1600262,prediction,1.0,0.0,0.0,0.0,0.0,0.0,NO
13.23.54,1379957034702,1619481,prediction,1.0,0.0,0.0,0.0,0.0,0.0,NO
13.25.24,1379957124247,1709026,extraInterval,1.0,0.0,0.0,0.0,0.0,5.0,YES
13.26.04,1379957164263,1749042,extraInterval,0.8333333333333334,0.0,0.0,0.0,16.666666666666664,3.0,YES
13.29.01,1379957341558,1926337,extraInterval,0.65,0.0,0.0,15.0,20.0,2.0,YES
13.30.40,1379957440448,2025227,extraInterval,0.6,0.0,0.0,0.0,20.0,0.0,YES
13.31.29,1379957489463,2074242,extraInterval,0.6923076923076923,0.0,0.0,15.384615384615385,0.0,0.0,YES
13.31.37,1379957497650,2082429,extraInterval,1.0,0.0,0.0,0.0,0.0,0.0,YES
13.31.47,1379957507635,2092414,extraInterval,0.7777777777777778,0.0,0.0,22.22222222222222,0.0,0.0,YES
13.32.38,1379957558353,2143132,prediction,0.85,0.0,0.0,15.0,0.0,0.0,NO
13.32.54,1379957574494,2159273,prediction,0.8571428571428571,0.0,0.0,14.285714285714285,0.0,0.0,NO
13.33.04,1379957584478,2169257,prediction,0.5,0.0,0.0,16.666666666666664,0.0,0.0,NO
13.33.27,1379957607837,2192616,prediction,0.5714285714285714,0.0,0.0,28.57142857142857,0.0,0.0,NO
13.33.35,1379957615634,2200413,prediction,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,NO
13.33.55,1379957635275,2220054,stuck_point,0.7142857142857143,0.0,0.0,14.285714285714285,0.0,4.0,YES
13.37.07,1379957827820,2412599,prediction,0.5882352941176471,0.0,0.0,11.76470588235294,11.76470588235294,0.0,YES
13.37.25,1379957845586,2430365,prediction,0.6666666666666666,0.0,0.0,0.0,16.666666666666664,0.0,NO
13.37.41,1379957861086,2445865,prediction,0.7272727272727273,0.0,0.0,0.0,18.181818181818183,4.0,NO
13.39.05,1379957945523,2530302,prediction,0.7058823529411765,0.0,0.0,0.0,23.52941176470588,0.0,NO
13.39.13,1379957953023,2537802,prediction,1.0,0.0,0.0,0.0,0.0,0.0,NO
13.39.27,1379957967476,2552255,prediction,0.8181818181818182,0.0,0.0,18.181818181818183,0.0,0.0,NO
13.40.27,1379958027053,2611832,prediction,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,NO
13.40.41,1379958041959,2626738,prediction,0.9,0.0,0.0,10.0,0.0,0.0,NO
13.40.45,1379958045163,2629942,stuck_point,1.0,0.0,0.0,0.0,0.0,0.0,YES
13.41.07,1379958067741,2652520,prediction,1.0,0.0,0.0,0.0,0.0,0.0,NO
13.41.11,1379958071194,2655973,prediction,0.8,0.0,0.0,0.0,0.0,0.0,YES
13.41.13,1379958073412,2658191,prediction,1.0,0.0,0.0,0.0,0.0,0.0,YES
13.41.16,1379958076256,2661035,prediction,1.0,0.0,0.0,0.0,0.0,0.0,YES
13.41.18,1379958078819,2663598,prediction,1.0,0.0,0.0,0.0,0.0,0.0,YES
13.41.23,1379958083647,2668426,prediction,1.0,0.0,0.0,0.0,0.0,0.0,YES
13.41.28,1379958088006,2672785,prediction,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,NO
13.41.34,1379958094428,2679207,prediction,1.0,0.0,0.0,0.0,0.0,0.0,NO
13.41.36,1379958096443,2681222,prediction,0.0,0.0,0.0,0.0,0.0,0.0,NO
13.41.38,1379958098943,2683722,prediction,1.0,0.0,0.0,0.0,0.0,0.0,NO
13.41.47,1379958107881,2692660,prediction,1.0,0.0,0.0,0.0,0.0,0.0,NO
13.42.04,1379958124146,2708925,prediction,1.0,0.0,0.0,0.0,0.0,0.0,NO
13.42.35,1379958155943,2740722,prediction,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,NO
13.42.40,1379958160287,2745066,prediction,1.0,0.0,0.0,0.0,0.0,0.0,NO
13.43.09,1379958189287,2774066,prediction,0.5,0.0,0.0,0.0,0.0,0.0,NO
13.43.15,1379958195037,2779816,predictionCorrection,0.75,0.0,0.0,0.0,0.0,0.0,YES
13.46.59,1379958419457,3004236,stuck_point,0.6470588235294118,0.0,0.0,0.0,35.294117647058826,0.0,YES
13.47.37,1379958457597,3042376,prediction,1.0,0.0,0.0,0.0,0.0,0.0,NO
13.47.57,1379958477050,3061829,prediction,0.7142857142857143,0.0,0.0,0.0,28.57142857142857,0.0,NO
13.48.01,1379958481331,3066110,stuck_point,0.5,0.0,0.0,0.0,0.0,9.0,YES
13.51.42,1379958702577,3287356,extraInterval,0.4,0.0,0.0,0.0,60.0,0.0,YES
13.52.18,1379958738998,3323777,extraInterval,0.7777777777777778,0.0,0.0,0.0,22.22222222222222,0.0,YES
13.52.47,1379958767841,3352620,extraInterval,0.6,0.0,0.0,10.0,20.0,0.0,YES
13.53.34,1379958814981,3399760,extraInterval,0.375,0.0,0.0,12.5,25.0,0.0,YES
13.53.38,1379958818887,3403666,extraInterval,1.0,0.0,0.0,0.0,0.0,0.0,YES
13.53.42,1379958822137,3406916,extraInterval,1.0,0.0,0.0,0.0,0.0,0.0,YES
13.54.03,1379958843309,3428088,extraInterval,0.5,0.0,0.0,0.0,0.0,0.0,YES
13.54.07,1379958847387,3432166,extraInterval,0.75,0.0,0.0,0.0,0.0,0.0,YES
13.54.11,1379958851887,3436666,extraInterval,0.5,0.0,0.0,0.0,0.0,0.0,YES
13.54.15,1379958855200,3439979,extraInterval,0.0,0.0,0.0,0.0,0.0,0.0,YES
